objectid,osm_id,fcode,facility_type,name,subdistrict,district,state,country,longitude,latitude
215202,1201695152,7214,Quarry,,Nandigam,Srikakulam,Andhra Pradesh,India,84.34790046845067,18.69990599295696
215319,1250353894,7214,Quarry,,Nagari,Chittoor,Andhra Pradesh,India,79.59808557379795,13.299333977350859
215352,1202583204,7204,Industrial,,Penukonda,Sri Sathya Sai,Andhra Pradesh,India,77.60376350381719,14.169023326890935
215408,1436954576,7204,Industrial,,Bengaluru North,Bengaluru Urban,Karnataka,India,77.452050629917,12.965873119228624
215462,1236975737,7204,Industrial,,Poonamallee,Thiruvallur,Tamil Nadu,India,80.07182825909989,13.07800456116984
215511,1324259667,7204,Industrial,,Peddapuram,Kakinada,Andhra Pradesh,India,82.09982298051818,17.071206256668653
215552,1426122457,7204,Industrial,,Sriperumbudur,Kancheepuram,Tamil Nadu,India,79.9091030632405,12.903478727915171
215557,1223151622,7204,Industrial,,Srirangam,Tiruchirappalli,Tamil Nadu,India,78.71709394008585,10.8554866931649
215560,1250224187,7204,Industrial,,Gudipala,Chittoor,Andhra Pradesh,India,79.1392859277784,13.07517899871173
215562,1354343461,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.50644612092032,13.044720740998066
215598,1233779797,7214,Quarry,,Mulug,Siddipet,Telangana,India,78.55455903413504,17.69063216015287
215628,1228056772,7204,Industrial,,Hosakote,Bengaluru Rural,Karnataka,India,77.85284919069296,12.972218863549
215672,1181311432,7204,Industrial,,Ponneri,Thiruvallur,Tamil Nadu,India,80.15336084953395,13.201068743211023
215680,1188688461,7204,Industrial,,Anekal,Bengaluru Urban,Karnataka,India,77.65705318813407,12.752303309121498
215701,1223151577,7204,Industrial,,Srirangam,Tiruchirappalli,Tamil Nadu,India,78.7488783700647,10.851036363444448
215794,1217139666,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.54899921268922,13.019274119738306
215931,1284361021,7204,Industrial,,Kadapa,Y S R Kadapa,Andhra Pradesh,India,78.87667390716652,14.457109769893185
215958,1260702494,7204,Industrial,,Aravakurichi,Karur,Tamil Nadu,India,77.88499836301958,10.902493772014093
215976,1450339701,7204,Industrial,,Tuni,Kakinada,Andhra Pradesh,India,82.541258107113,17.376589881808087
216124,1219767658,7204,Industrial,,Belagavi,Belagavi,Karnataka,India,74.44479751196788,15.777980035520459
216207,1269877861,7204,Industrial,,Challakere,Chitradurga,Karnataka,India,76.67293016925998,14.15384807240646
216271,1271341868,7204,Industrial,,Chimakurthy,Prakasam,Andhra Pradesh,India,79.77663664215684,15.58028562038645
216342,1250353895,7214,Quarry,,Tiruttani,Thiruvallur,Tamil Nadu,India,79.59744455243884,13.282149705634806
216367,1305676869,7204,Industrial,,Kochi,Ernakulam,Kerala,India,76.2674501842527,9.94268482479378
216418,1219767656,7204,Industrial,,Belagavi,Belagavi,Karnataka,India,74.43677276962984,15.779004838614068
216504,1224632967,7204,Industrial,,Chincholi,Kalaburagi,Karnataka,India,77.43603902898239,17.295502615025274
216648,1218909830,7204,Industrial,,Kunnathunad,Ernakulam,Kerala,India,76.38645067927705,9.97215098867711
216702,1223151587,7204,Industrial,,Srirangam,Tiruchirappalli,Tamil Nadu,India,78.7446445356237,10.845629730203733
216709,1292043891,7204,Industrial,,Kanayannur,Ernakulam,Kerala,India,76.36870478181602,10.009124435733792
216821,1211607832,7204,Industrial,,Mamidikuduru,Dr BR Ambedkar Konaseema,Andhra Pradesh,India,81.89825780143111,16.503446820526765
217007,1432456403,7204,Industrial,,Supa,Uttara Kannada,Karnataka,India,74.5055742771253,15.406263089970146
217032,1230519603,7214,Quarry,,Yerraguntla,Y S R Kadapa,Andhra Pradesh,India,78.51906449983821,14.647276950562324
217039,1235088522,7204,Industrial,,Thoothukkudi,Thoothukkudi,Tamil Nadu,India,78.11143746603116,8.771620967307237
217071,1286172082,7204,Industrial,,Hosakote,Bengaluru Rural,Karnataka,India,77.82541123844081,13.132656885942732
217106,1210056315,7204,Industrial,,Aruppukkottai,Virudhunagar,Tamil Nadu,India,78.29704440446515,9.302463844571268
217127,1250475611,7214,Quarry,,Chittoor Urban,Chittoor,Andhra Pradesh,India,79.0679775664759,13.205700159298267
217133,1279668272,7204,Industrial,,Koppal,Koppal,Karnataka,India,76.28276262393699,15.335934422824664
217147,1315640788,7204,Industrial,,Bengaluru East,Bengaluru Urban,Karnataka,India,77.74347917717503,13.049778864525539
217234,1267712401,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.70531804286354,12.99270879765296
217378,1238665549,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.71713180190933,12.943705955266646
217431,1416230773,7204,Industrial,,Devanahalli,Bengaluru Rural,Karnataka,India,77.57938345180885,13.26096165134232
217442,17351931,7204,Industrial,,Katpadi,Vellore,Tamil Nadu,India,79.14534113855451,12.944328530667304
217573,1233779800,7214,Quarry,,Medchal,Medchal Malkajgiri,Telangana,India,78.5530467688347,17.68719397412641
217631,1209263783,7204,Industrial,,Vijayawada Central,NTR,Andhra Pradesh,India,80.65385909717638,16.553274402646885
217659,1237157807,7204,Industrial,,Kukatpally,Medchal Malkajgiri,Telangana,India,78.37462612113966,17.482927139474945
217673,1241946896,7214,Quarry,,Hassan,Hassan,Karnataka,India,76.18433698757306,13.045989440043313
217677,1266460891,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.67653566611345,13.02554397074097
217759,1455532012,7214,Quarry,,Salur,Parvathipuram Manyam,Andhra Pradesh,India,83.1635601246009,18.58419239928542
217776,1469677054,7204,Industrial,,Anekal,Bengaluru Urban,Karnataka,India,77.7945286468527,12.864441380415958
217806,1201729373,7214,Quarry,,Kotabommali,Srikakulam,Andhra Pradesh,India,84.11161226503019,18.52246640483276
217860,1207465806,7204,Industrial,,Pochampalli,Krishnagiri,Tamil Nadu,India,78.40169203468416,12.292788346910015
217918,1219767639,7214,Quarry,,Khanapur,Belagavi,Karnataka,India,74.3846523198847,15.737258770368928
217929,1250811972,7204,Industrial,,Kothavalasa,Vizianagaram,Andhra Pradesh,India,83.19560324537639,17.910501566400022
217963,1250475604,7204,Industrial,,Yadamarri,Chittoor,Andhra Pradesh,India,79.05455914598863,13.183682434255784
218122,1391367662,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.59246809392354,12.874140988144058
218160,1279894921,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.70986679870911,13.154558204836247
218292,1247322358,7204,Industrial,,Nadendla,Palnadu,Andhra Pradesh,India,80.17833124591935,16.123253324569426
218362,1219767607,7214,Quarry,,Khanapur,Belagavi,Karnataka,India,74.39610747455927,15.735354325302554
218420,1268473737,7204,Industrial,,Palladam,Tiruppur,Tamil Nadu,India,77.28566111999667,11.053893224720413
218476,1239208365,7204,Industrial,,Cherthala,Alappuzha,Kerala,India,76.34224817269241,9.666778270623512
